fm_nationality,year,population_by_year
Philippines-Philippines,2005,4
Guatemala-Guatemala,2005,296
El Salvador-El Salvador,2005,510
Italy-Italy,2005,594
Nicaragua-United States,2005,615
China-China,2005,649
India-India,2005,683
Pakistan-Pakistan,2005,897
Nicaragua-Nicaragua,2005,5588
Philippines-Philippines,2006,23
Guatemala-Guatemala,2006,282
El Salvador-El Salvador,2006,603
China-China,2006,659
Nicaragua-United States,2006,666
India-India,2006,701
Pakistan-Pakistan,2006,924
Italy-Italy,2006,576
Nicaragua-Nicaragua,2006,6455
Mexico-Mexico,2007,6304
Guatemala-Guatemala,2007,312
Mexico-United States,2007,659
Dominican Republic-Dominican Republic,2007,415
Italy-Italy,2007,562
El Salvador-El Salvador,2007,527
Puerto Rico-Puerto Rico,2007,750
China-China,2007,783
India-India,2007,785
Nicaragua-Nicaragua,2007,88
Pakistan-Pakistan,2007,83
Philippines-Philippines,2007,930
Vietnam-Vietnam,2007,519
Nicaragua-United States,2007,8
United States-Mexico,2007,429
Philippines-Philippines,2008,1028
China-China,2008,778
Puerto Rico-Puerto Rico,2008,770
El Salvador-El Salvador,2008,502
India-India,2008,822
Nicaragua-Nicaragua,2008,77
Vietnam-Vietnam,2008,527
Pakistan-Pakistan,2008,122
Nicaragua-United States,2008,13
Dominican Republic-Dominican Republic,2008,423
Mexico-United States,2008,681
Italy-Italy,2008,580
Mexico-Mexico,2008,6500
United States-Mexico,2008,405
Guatemala-Guatemala,2008,333
El Salvador-El Salvador,2009,565
Mexico-United States,2009,712
Pakistan-Pakistan,2009,108
Puerto Rico-Puerto Rico,2009,748
Dominican Republic-Dominican Republic,2009,426
Guatemala-Guatemala,2009,289
Nicaragua-United States,2009,7
Philippines-Philippines,2009,1063
China-China,2009,774
India-India,2009,925
Nicaragua-Nicaragua,2009,55
United States-Mexico,2009,475
Italy-Italy,2009,507
Vietnam-Vietnam,2009,466
Mexico-Mexico,2009,6518
Italy-Italy,2010,435
Mexico-United States,2010,726
Philippines-Philippines,2010,1104
Nicaragua-Nicaragua,2010,63
United States-Mexico,2010,487
Vietnam-Vietnam,2010,501
El Salvador-El Salvador,2010,588
India-India,2010,942
Mexico-Mexico,2010,6642
Puerto Rico-Puerto Rico,2010,776
China-China,2010,782
Pakistan-Pakistan,2010,137
Dominican Republic-Dominican Republic,2010,405
Guatemala-Guatemala,2010,388
Nicaragua-United States,2010,7
Pakistan-Pakistan,2011,141
El Salvador-El Salvador,2011,643
Mexico-Mexico,2011,6532
Nicaragua-United States,2011,15
Philippines-Philippines,2011,1105
Vietnam-Vietnam,2011,584
Puerto Rico-Puerto Rico,2011,792
Mexico-United States,2011,717
Italy-Italy,2011,385
Nicaragua-Nicaragua,2011,68
Guatemala-Guatemala,2011,386
United States-Mexico,2011,409
China-China,2011,807
Dominican Republic-Dominican Republic,2011,409
India-India,2011,1014
United States-Mexico,2012,404
Italy-Italy,2012,387
Guatemala-Guatemala,2012,345
Mexico-Mexico,2012,6495
Dominican Republic-Dominican Republic,2012,411
Vietnam-Vietnam,2012,620
Philippines-Philippines,2012,1088
India-India,2012,988
Nicaragua-United States,2012,21
Puerto Rico-Puerto Rico,2012,807
Nicaragua-Nicaragua,2012,93
Mexico-United States,2012,729
Pakistan-Pakistan,2012,127
China-China,2012,860
El Salvador-El Salvador,2012,662
China-China,2013,861
India-India,2013,1014
Dominican Republic-Dominican Republic,2013,446
Vietnam-Vietnam,2013,588
Italy-Italy,2013,398
Guatemala-Guatemala,2013,469
Philippines-Philippines,2013,934
Mexico-Mexico,2013,6415
United States-Mexico,2013,491
Nicaragua-Nicaragua,2013,83
Nicaragua-United States,2013,12
Pakistan-Pakistan,2013,98
Puerto Rico-Puerto Rico,2013,767
Mexico-United States,2013,748
El Salvador-El Salvador,2013,538
El Salvador-El Salvador,2014,662
India-India,2014,1013
Vietnam-Vietnam,2014,640
Italy-Italy,2014,374
Philippines-Philippines,2014,978
Puerto Rico-Puerto Rico,2014,742
China-China,2014,937
Pakistan-Pakistan,2014,114
United States-Mexico,2014,482
Mexico-United States,2014,758
Nicaragua-Nicaragua,2014,77
Nicaragua-United States,2014,12
Guatemala-Guatemala,2014,497
Mexico-Mexico,2014,6470
Dominican Republic-Dominican Republic,2014,486
Nicaragua-United States,2015,10
Italy-Italy,2015,320
Nicaragua-Nicaragua,2015,124
Pakistan-Pakistan,2015,138
Dominican Republic-Dominican Republic,2015,389
Guatemala-Guatemala,2015,520
Mexico-Mexico,2015,6682
Puerto Rico-Puerto Rico,2015,725
Mexico-United States,2015,805
United States-Mexico,2015,468
El Salvador-El Salvador,2015,652
India-India,2015,1049
China-China,2015,940
Vietnam-Vietnam,2015,641
Philippines-Philippines,2015,1044
Italy-Italy,2016,294
Puerto Rico-Puerto Rico,2016,745
Nicaragua-Nicaragua,2016,120
Pakistan-Pakistan,2016,140
China-China,2016,877
Mexico-Mexico,2016,6571
El Salvador-El Salvador,2016,639
Philippines-Philippines,2016,1017
Mexico-United States,2016,800
Nicaragua-United States,2016,12
Vietnam-Vietnam,2016,519
United States-Mexico,2016,444
India-India,2016,1148
Guatemala-Guatemala,2016,466
Dominican Republic-Dominican Republic,2016,394
Nicaragua-United States,2017,13
El Salvador-El Salvador,2017,795
Puerto Rico-Puerto Rico,2017,747
Philippines-Philippines,2017,1063
Mexico-United States,2017,817
Mexico-Mexico,2017,6428
Dominican Republic-Dominican Republic,2017,396
India-India,2017,1309
Pakistan-Pakistan,2017,184
